Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Production","Wheat and products","2010","1000 t","642175"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2010","1000 t","217320"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2010","1000 t","-6856"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2010","1000 t","186531"
"Food Balances (2010-)","World","Feed","Wheat and products","2010","1000 t","131921"
"Food Balances (2010-)","World","Seed","Wheat and products","2010","1000 t","33101"
"Food Balances (2010-)","World","Losses","Wheat and products","2010","1000 t","21206"
"Food Balances (2010-)","World","Processing","Wheat and products","2010","1000 t","10028"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2010","1000 t","22133"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2010","1000 t","308"
"Food Balances (2010-)","World","Residuals","Wheat and products","2010","1000 t","-2123"
"Food Balances (2010-)","World","Food","Wheat and products","2010","1000 t","463247"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2010","kg/cap","67"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2010","kcal/cap/d","527.38"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2010","Kcal","1330867655.27"
"Food Balances (2010-)","World","Production","Wheat and products","2011","1000 t","698278"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2011","1000 t","225760"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2011","1000 t","22031"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2011","1000 t","193836"
"Food Balances (2010-)","World","Feed","Wheat and products","2011","1000 t","144091"
"Food Balances (2010-)","World","Seed","Wheat and products","2011","1000 t","34099"
"Food Balances (2010-)","World","Losses","Wheat and products","2011","1000 t","21963"
"Food Balances (2010-)","World","Processing","Wheat and products","2011","1000 t","10613"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2011","1000 t","22566"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2011","1000 t","544"
"Food Balances (2010-)","World","Residuals","Wheat and products","2011","1000 t","3312"
"Food Balances (2010-)","World","Food","Wheat and products","2011","1000 t","470984"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2011","kg/cap","67.29"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2011","kcal/cap/d","530.43"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2011","Kcal","1355186695.49"
"Food Balances (2010-)","World","Production","Wheat and products","2012","1000 t","675457"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2012","1000 t","243630"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2012","1000 t","-13977"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2012","1000 t","211550"
"Food Balances (2010-)","World","Feed","Wheat and products","2012","1000 t","155278"
"Food Balances (2010-)","World","Seed","Wheat and products","2012","1000 t","34026"
"Food Balances (2010-)","World","Losses","Wheat and products","2012","1000 t","22034"
"Food Balances (2010-)","World","Processing","Wheat and products","2012","1000 t","10871"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2012","1000 t","24060"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2012","1000 t","941"
"Food Balances (2010-)","World","Residuals","Wheat and products","2012","1000 t","-3825"
"Food Balances (2010-)","World","Food","Wheat and products","2012","1000 t","478129"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2012","kg/cap","67.14"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2012","kcal/cap/d","528.31"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2012","Kcal","1373296600.08"
"Food Balances (2010-)","World","Production","Wheat and products","2013","1000 t","711722"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2013","1000 t","245165"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2013","1000 t","20443"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2013","1000 t","209885"
"Food Balances (2010-)","World","Feed","Wheat and products","2013","1000 t","149137"
"Food Balances (2010-)","World","Seed","Wheat and products","2013","1000 t","33046"
"Food Balances (2010-)","World","Losses","Wheat and products","2013","1000 t","22988"
"Food Balances (2010-)","World","Processing","Wheat and products","2013","1000 t","12060"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2013","1000 t","23964"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2013","1000 t","833"
"Food Balances (2010-)","World","Residuals","Wheat and products","2013","1000 t","1317"
"Food Balances (2010-)","World","Food","Wheat and products","2013","1000 t","483215"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2013","kg/cap","67.02"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2013","kcal/cap/d","527.59"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2013","Kcal","1388340386.5"
"Food Balances (2010-)","World","Production","Wheat and products","2014","1000 t","730675"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2014","1000 t","262380"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2014","1000 t","40757"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2014","1000 t","223200"
"Food Balances (2010-)","World","Feed","Wheat and products","2014","1000 t","148766"
"Food Balances (2010-)","World","Seed","Wheat and products","2014","1000 t","35175"
"Food Balances (2010-)","World","Losses","Wheat and products","2014","1000 t","27386"
"Food Balances (2010-)","World","Processing","Wheat and products","2014","1000 t","11747"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2014","1000 t","20068"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2014","1000 t","845"
"Food Balances (2010-)","World","Residuals","Wheat and products","2014","1000 t","-7192"
"Food Balances (2010-)","World","Food","Wheat and products","2014","1000 t","492302"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2014","kg/cap","67.46"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2014","kcal/cap/d","529.55"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2014","Kcal","1410465421.55"
"Food Balances (2010-)","World","Production","Wheat and products","2015","1000 t","744164"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2015","1000 t","260481"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2015","1000 t","38894"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2015","1000 t","222875"
"Food Balances (2010-)","World","Feed","Wheat and products","2015","1000 t","153282"
"Food Balances (2010-)","World","Seed","Wheat and products","2015","1000 t","35104"
"Food Balances (2010-)","World","Losses","Wheat and products","2015","1000 t","27247"
"Food Balances (2010-)","World","Processing","Wheat and products","2015","1000 t","11362"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2015","1000 t","22419"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2015","1000 t","543"
"Food Balances (2010-)","World","Residuals","Wheat and products","2015","1000 t","-4668"
"Food Balances (2010-)","World","Food","Wheat and products","2015","1000 t","497589"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2015","kg/cap","67.38"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2015","kcal/cap/d","528.89"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2015","Kcal","1425534296.59"
"Food Balances (2010-)","World","Production","Wheat and products","2016","1000 t","750569"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2016","1000 t","288553"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2016","1000 t","21628"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2016","1000 t","244694"
"Food Balances (2010-)","World","Feed","Wheat and products","2016","1000 t","155706"
"Food Balances (2010-)","World","Seed","Wheat and products","2016","1000 t","35737"
"Food Balances (2010-)","World","Losses","Wheat and products","2016","1000 t","28296"
"Food Balances (2010-)","World","Processing","Wheat and products","2016","1000 t","12592"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2016","1000 t","24737"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2016","1000 t","422"
"Food Balances (2010-)","World","Residuals","Wheat and products","2016","1000 t","-1496"
"Food Balances (2010-)","World","Food","Wheat and products","2016","1000 t","516804"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2016","kg/cap","69.18"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2016","kcal/cap/d","544.52"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2016","Kcal","1484858802.6"
"Food Balances (2010-)","World","Production","Wheat and products","2017","1000 t","774984"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2017","1000 t","301763"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2017","1000 t","36471"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2017","1000 t","255966"
"Food Balances (2010-)","World","Feed","Wheat and products","2017","1000 t","161576"
"Food Balances (2010-)","World","Seed","Wheat and products","2017","1000 t","38073"
"Food Balances (2010-)","World","Losses","Wheat and products","2017","1000 t","27404"
"Food Balances (2010-)","World","Processing","Wheat and products","2017","1000 t","12413"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2017","1000 t","29121"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2017","1000 t","547"
"Food Balances (2010-)","World","Residuals","Wheat and products","2017","1000 t","-8101"
"Food Balances (2010-)","World","Food","Wheat and products","2017","1000 t","523278"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2017","kg/cap","69.24"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2017","kcal/cap/d","544.12"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2017","Kcal","1500911720.95"
"Food Balances (2010-)","World","Production","Wheat and products","2018","1000 t","735499"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2018","1000 t","290738"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2018","1000 t","3247"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2018","1000 t","250885"
"Food Balances (2010-)","World","Feed","Wheat and products","2018","1000 t","153991"
"Food Balances (2010-)","World","Seed","Wheat and products","2018","1000 t","35445"
"Food Balances (2010-)","World","Losses","Wheat and products","2018","1000 t","26771"
"Food Balances (2010-)","World","Processing","Wheat and products","2018","1000 t","12071"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2018","1000 t","27180"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2018","1000 t","766"
"Food Balances (2010-)","World","Residuals","Wheat and products","2018","1000 t","-3924"
"Food Balances (2010-)","World","Food","Wheat and products","2018","1000 t","519804"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2018","kg/cap","68.03"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2018","kcal/cap/d","533.93"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2018","Kcal","1489147364.4"
"Food Balances (2010-)","World","Production","Wheat and products","2019","1000 t","766755"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2019","1000 t","290029"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2019","1000 t","31403"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2019","1000 t","246386"
"Food Balances (2010-)","World","Feed","Wheat and products","2019","1000 t","156516"
"Food Balances (2010-)","World","Seed","Wheat and products","2019","1000 t","33054"
"Food Balances (2010-)","World","Losses","Wheat and products","2019","1000 t","29363"
"Food Balances (2010-)","World","Processing","Wheat and products","2019","1000 t","12392"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2019","1000 t","30551"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2019","1000 t","391"
"Food Balances (2010-)","World","Residuals","Wheat and products","2019","1000 t","-3293"
"Food Balances (2010-)","World","Food","Wheat and products","2019","1000 t","520020"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2019","kg/cap","67.21"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2019","kcal/cap/d","525.59"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2019","Kcal","1484406546.89"
"Food Balances (2010-)","World","Production","Wheat and products","2020","1000 t","759025"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2020","1000 t","312637"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2020","1000 t","-7018"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2020","1000 t","259053"
"Food Balances (2010-)","World","Feed","Wheat and products","2020","1000 t","188774"
"Food Balances (2010-)","World","Seed","Wheat and products","2020","1000 t","33498"
"Food Balances (2010-)","World","Losses","Wheat and products","2020","1000 t","29440"
"Food Balances (2010-)","World","Processing","Wheat and products","2020","1000 t","13441"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2020","1000 t","27595"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2020","1000 t","10"
"Food Balances (2010-)","World","Residuals","Wheat and products","2020","1000 t","-6182"
"Food Balances (2010-)","World","Food","Wheat and products","2020","1000 t","533052"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2020","kg/cap","68.22"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2020","kcal/cap/d","532.63"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2020","Kcal","1519024291.72"
"Food Balances (2010-)","World","Production","Wheat and products","2021","1000 t","775714"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2021","1000 t","316397"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2021","1000 t","-5957"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2021","1000 t","261949"
"Food Balances (2010-)","World","Feed","Wheat and products","2021","1000 t","194054"
"Food Balances (2010-)","World","Seed","Wheat and products","2021","1000 t","33792"
"Food Balances (2010-)","World","Losses","Wheat and products","2021","1000 t","28724"
"Food Balances (2010-)","World","Processing","Wheat and products","2021","1000 t","12689"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2021","1000 t","32846"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2021","1000 t","11"
"Food Balances (2010-)","World","Residuals","Wheat and products","2021","1000 t","-3623"
"Food Balances (2010-)","World","Food","Wheat and products","2021","1000 t","537627"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2021","kg/cap","68.21"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2021","kcal/cap/d","533"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2021","Kcal","1533294608.09"
"Food Balances (2010-)","World","Production","Wheat and products","2022","1000 t","810081"
"Food Balances (2010-)","World","Import quantity","Wheat and products","2022","1000 t","320569"
"Food Balances (2010-)","World","Stock Variation","Wheat and products","2022","1000 t","23772"
"Food Balances (2010-)","World","Export quantity","Wheat and products","2022","1000 t","251517"
"Food Balances (2010-)","World","Feed","Wheat and products","2022","1000 t","200099"
"Food Balances (2010-)","World","Seed","Wheat and products","2022","1000 t","34049"
"Food Balances (2010-)","World","Losses","Wheat and products","2022","1000 t","29612"
"Food Balances (2010-)","World","Processing","Wheat and products","2022","1000 t","13346"
"Food Balances (2010-)","World","Other uses (non-food)","Wheat and products","2022","1000 t","30417"
"Food Balances (2010-)","World","Tourist consumption","Wheat and products","2022","1000 t","468"
"Food Balances (2010-)","World","Residuals","Wheat and products","2022","1000 t","1606"
"Food Balances (2010-)","World","Food","Wheat and products","2022","1000 t","545764"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Wheat and products","2022","kg/cap","68.68"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Wheat and products","2022","kcal/cap/d","535.49"
"Food Balances (2010-)","World","Food supply (kcal)","Wheat and products","2022","Kcal","1553271607.9"
"Food Balances (2010-)","World","Production","Rice and products","2010","1000 t","694372"
"Food Balances (2010-)","World","Import quantity","Rice and products","2010","1000 t","49524"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2010","1000 t","8564"
"Food Balances (2010-)","World","Export quantity","Rice and products","2010","1000 t","51273"
"Food Balances (2010-)","World","Feed","Rice and products","2010","1000 t","32336"
"Food Balances (2010-)","World","Seed","Rice and products","2010","1000 t","17549"
"Food Balances (2010-)","World","Losses","Rice and products","2010","1000 t","32257"
"Food Balances (2010-)","World","Processing","Rice and products","2010","1000 t","13276"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2010","1000 t","17404"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2010","1000 t","707"
"Food Balances (2010-)","World","Residuals","Rice and products","2010","1000 t","439"
"Food Balances (2010-)","World","Food","Rice and products","2010","1000 t","570091"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2010","kg/cap","82.46"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2010","kcal/cap/d","529.12"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2010","Kcal","1335265444.52"
"Food Balances (2010-)","World","Production","Rice and products","2011","1000 t","719339"
"Food Balances (2010-)","World","Import quantity","Rice and products","2011","1000 t","52363"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2011","1000 t","18012"
"Food Balances (2010-)","World","Export quantity","Rice and products","2011","1000 t","56690"
"Food Balances (2010-)","World","Feed","Rice and products","2011","1000 t","32700"
"Food Balances (2010-)","World","Seed","Rice and products","2011","1000 t","17878"
"Food Balances (2010-)","World","Losses","Rice and products","2011","1000 t","32213"
"Food Balances (2010-)","World","Processing","Rice and products","2011","1000 t","12455"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2011","1000 t","18423"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2011","1000 t","96"
"Food Balances (2010-)","World","Residuals","Rice and products","2011","1000 t","939"
"Food Balances (2010-)","World","Food","Rice and products","2011","1000 t","582294"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Rice and products","2011","kg/cap","83.19"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Rice and products","2011","kcal/cap/d","534.88"
"Food Balances (2010-)","World","Food supply (kcal)","Rice and products","2011","Kcal","1366554223.99"
"Food Balances (2010-)","World","Production","Rice and products","2012","1000 t","727555"
"Food Balances (2010-)","World","Import quantity","Rice and products","2012","1000 t","56956"
"Food Balances (2010-)","World","Stock Variation","Rice and products","2012","1000 t","22689"
"Food Balances (2010-)","World","Export quantity","Rice and products","2012","1000 t","61448"
"Food Balances (2010-)","World","Feed","Rice and products","2012","1000 t","33680"
"Food Balances (2010-)","World","Seed","Rice and products","2012","1000 t","17736"
"Food Balances (2010-)","World","Losses","Rice and products","2012","1000 t","32940"
"Food Balances (2010-)","World","Processing","Rice and products","2012","1000 t","12464"
"Food Balances (2010-)","World","Other uses (non-food)","Rice and products","2012","1000 t","18706"
"Food Balances (2010-)","World","Tourist consumption","Rice and products","2012","1000 t","740"
"Food Balances (2010-)","World","Residuals","Rice and products","2012","1000 t","987"
