Domain,Area,Element,Item,Year,Months,Value
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1993","Annual value","18000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1994","Annual value","16000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1995","Annual value","14000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1996","Annual value","2000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1997","Annual value","48000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1998","Annual value","50000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1999","Annual value","72000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2000","Annual value","72000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2001","Annual value","40000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2002","Annual value","50000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2003","Annual value","48000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2004","Annual value","50100"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","2005","Annual value","52200"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1993","Annual value","3100"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1994","Annual value","3300"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1995","Annual value","2100"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1996","Annual value","2000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1997","Annual value","8500"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1998","Annual value","8000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","1999","Annual value","17800"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2000","Annual value","18600"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2001","Annual value","16000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2002","Annual value","11000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2003","Annual value","14000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2004","Annual value","15700"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Raw milk of sheep","2005","Annual value","16000"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Shorn wool, greasy, including fleece-washed shorn wool","2008","Annual value","110520"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Shorn wool, greasy, including fleece-washed shorn wool","2009","Annual value","106747"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Shorn wool, greasy, including fleece-washed shorn wool","2010","Annual value","108517"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Shorn wool, greasy, including fleece-washed shorn wool","2011","Annual value","110820"
"Producer Prices","Afghanistan","Producer Price (LCU/tonne)","Shorn wool, greasy, including fleece-washed shorn wool","2012","Annual value","114900"
"Producer Prices","Albania","Producer Price (LCU/tonne)","Hen eggs in shell, fresh","1998","Annual value","270829"
