Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Production","Meat","2010","1000 t","293053"
"Food Balances (2010-)","World","Import quantity","Meat","2010","1000 t","38033"
"Food Balances (2010-)","World","Stock Variation","Meat","2010","1000 t","-410"
"Food Balances (2010-)","World","Export quantity","Meat","2010","1000 t","41915"
"Food Balances (2010-)","World","Feed","Meat","2010","1000 t","71"
"Food Balances (2010-)","World","Losses","Meat","2010","1000 t","1264"
"Food Balances (2010-)","World","Processing","Meat","2010","1000 t","543"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2010","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2010","1000 t","538"
"Food Balances (2010-)","World","Residuals","Meat","2010","1000 t","-137"
"Food Balances (2010-)","World","Food","Meat","2010","1000 t","287303"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2010","kg/cap","41.55"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2010","kcal/cap/d","196"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2010","Kcal","495664694.21"
"Food Balances (2010-)","World","Production","Meat","2011","1000 t","297412"
"Food Balances (2010-)","World","Import quantity","Meat","2011","1000 t","40251"
"Food Balances (2010-)","World","Stock Variation","Meat","2011","1000 t","1527"
"Food Balances (2010-)","World","Export quantity","Meat","2011","1000 t","44087"
"Food Balances (2010-)","World","Feed","Meat","2011","1000 t","74"
"Food Balances (2010-)","World","Losses","Meat","2011","1000 t","1295"
"Food Balances (2010-)","World","Processing","Meat","2011","1000 t","584"
"Food Balances (2010-)","World","Other uses (non-food)","Meat","2011","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Meat","2011","1000 t","572"
"Food Balances (2010-)","World","Residuals","Meat","2011","1000 t","99"
"Food Balances (2010-)","World","Food","Meat","2011","1000 t","289425"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Meat","2011","kg/cap","41.35"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Meat","2011","kcal/cap/d","195"
"Food Balances (2010-)","World","Food supply (kcal)","Meat","2011","Kcal","498233598.89"
"Food Balances (2010-)","World","Production","Meat","2012","1000 t","306101"
"Food Balances (2010-)","World","Import quantity","Meat","2012","1000 t","40785"
