"ref_area.label","source.label","indicator.label","sex.label","classif1.label","time","obs_value","obs_status.label","note_classif.label","note_indicator.label","note_source.label"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","2011",47.915,,,,
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","2011",0.286,,,,
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","2011",47.629,,,,
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","2010",46.526,,,,"Data reference period: September | Age coverage - minimum age: 14 years old"
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","2010",0.296,,,,"Data reference period: September | Age coverage - minimum age: 14 years old"
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","2010",46.23,,,,"Data reference period: September | Age coverage - minimum age: 14 years old"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","2007",51.607,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","2007",0.352,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","2007",51.255,,,,"Data reference period: October"
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","2000",41.918,,,,"Data reference period: October"
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","2000",0.213,,,,"Data reference period: October"
"Aruba","PC - Population and Housing Census","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","2000",41.705,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","1997",41.501,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","1997",0.196,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","1997",41.305,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","1994",35.94,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","1994",0.04,,,,"Data reference period: October"
"Aruba","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","1994",35.9,,,,"Data reference period: October"
"Afghanistan","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Total","2021",7679.474,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Agriculture","2021",3747.215,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
"Afghanistan","LFS - Labour Force Survey","Employment by sex and economic activity (thousands)","Sex: Total","Economic activity (Broad sector): Non-agriculture","2021",3932.259,,,,"Repository: ILO-STATISTICS - Micro data processing | Data reference period: First quarter"
