Series Name,"Time","Afghanistan","Albania","Algeria","American Samoa","Andorra","Angola","Antigua and Barbuda","Argentina","Armenia","Aruba","Australia","Austria","Azerbaijan","Bahamas, The","Bahrain","Bangladesh","Barbados","Belarus","Belgium","Belize","Benin","Bermuda","Bhutan","Bolivia","Bosnia and Herzegovina","Botswana","Brazil","British Virgin Islands","Brunei Darussalam","Bulgaria","Burkina Faso","Burundi","Cabo Verde","Cambodia","Cameroon","Canada","Cayman Islands","Central African Republic","Chad","Channel Islands","Chile","China","Colombia","Comoros","Congo, Dem. Rep.","Congo, Rep.","Costa Rica","Cote d'Ivoire","Croatia","Cuba","Curacao","Cyprus","Czechia","Denmark","Djibouti","Dominica","Dominican Republic","Ecuador","Egypt, Arab Rep.","El Salvador","Equatorial Guinea","Eritrea","Estonia","Eswatini","Ethiopia","Faroe Islands","Fiji","Finland","France","French Polynesia","Gabon","Gambia, The","Georgia","Germany","Ghana","Gibraltar","Greece","Greenland","Grenada","Guam","Guatemala","Guinea","Guinea-Bissau","Guyana","Haiti","Honduras","Hong Kong SAR, China","Hungary","Iceland","India","Indonesia","Iran, Islamic Rep.","Iraq","Ireland","Isle of Man","Israel","Italy","Jamaica","Japan","Jordan","Kazakhstan","Kenya","Kiribati","Korea, Dem. People's Rep.","Korea, Rep.","Kosovo","Kuwait","Kyrgyz Republic","Lao PDR","Latvia","Lebanon","Lesotho","Liberia","Libya","Liechtenstein","Lithuania","Luxembourg","Macao SAR, China","Madagascar","Malawi","Malaysia","Maldives","Mali","Malta","Marshall Islands","Mauritania","Mauritius","Mexico","Micronesia, Fed. Sts.","Moldova","Monaco","Mongolia","Montenegro","Morocco","Mozambique","Myanmar","Namibia","Nauru","Nepal","Netherlands","New Caledonia","New Zealand","Nicaragua","Niger","Nigeria","North Macedonia","Northern Mariana Islands","Norway","Oman","Pakistan","Palau","Panama","Papua New Guinea","Paraguay","Peru","Philippines","Poland","Portugal","Puerto Rico","Qatar","Romania","Russian Federation","Rwanda","Samoa","San Marino","Sao Tome and Principe","Saudi Arabia","Senegal","Serbia","Seychelles","Sierra Leone","Singapore","Sint Maarten (Dutch part)","Slovak Republic","Slovenia","Solomon Islands","Somalia","South Africa","South Sudan","Spain","Sri Lanka","St. Kitts and Nevis","St. Lucia","St. Martin (French part)","St. Vincent and the Grenadines","Sudan","Suriname","Sweden","Switzerland","Syrian Arab Republic","Tajikistan","Tanzania","Thailand","Timor-Leste","Togo","Tonga","Trinidad and Tobago","Tunisia","Turkiye","Turkmenistan","Turks and Caicos Islands","Tuvalu","Uganda","Ukraine","United Arab Emirates","United Kingdom","United States","Uruguay","Uzbekistan","Vanuatu","Venezuela, RB","Viet Nam","Virgin Islands (U.S.)","West Bank and Gaza","Yemen, Rep.","Zambia","Zimbabwe"
"Population, total","1960","8622466","1608800","11394307","20085","9443","5357195","55342","20349744","1904148","54608","10276477","7047539","3894500","114500","160691","50396429","232550","8198000","9153489","91403","2512284","44400","221266","3707515","3262539","512865","73092515","7850","85346","7867374","4783259","2746628","209849","5541676","5117608","17909356","8473","1679728","3028688","109186","8141820","667070000","15687688","194852","15276558","1055693","1346302","3708661","4140181","7267395","124826","585725","9602006","4579603","85940","59379","3298021","4618158","27034499","2779327","267351","993568","1211537","345065","21739710","34154","401841","4429634","46649927","84851","513340","399649","3645600","72814900","6911510","21822","8331725","32500","93772","72374","4128880","3516814","577933","571990","3901139","2078617","3114671","9983967","175574","445954579","88382881","21388806","7084678","2828600","48793","2114020","50199700","1642331","93216000","847936","9319283","7751435","47093","11655666","25012374","990150","305415","2172300","2122532","2120979","1798092","737838","1137026","1426986","16472","2778550","313970","177014","5073342","3621081","7833782","91650","5346792","326550","15374","838478","676683","36268055","42986","2074015","21797","977903","480579","11769774","6788375","21720697","590181","4582","10167941","11486631","79000","2371800","1789684","3497431","44928342","1462368","8702","3581239","536553","45954226","9446","1126989","1985666","1894829","10172207","28486871","29637450","8857716","2358000","36385","18406905","119897000","2966162","113335","15556","68038","4165563","3273177","6608000","41700","2301310","1646400","2646","4068095","1584720","133440","2870732","16520441","2907724","30455000","9783871","56660","91614","4135","84141","8326462","268396","7484656","5327827","4610712","2131992","10042458","26596584","468573","1651367","67428","847063","4195467","27510980","1602052","5604","5404","7617746","42767251","133426","52400000","180671000","2529021","8372311","64608","8156937","32718461","32500","..","5542459","3119430","3806310"
"Population, total","1961","8790140","1659800","11598608","20626","10216","5441333","56245","20680653","1971530","55811","10483000","7086299","4045750","120216","166970","51882769","233698","8271216","9183948","93757","2551216","45500","227071","3784744","3325333","524403","75330008","7885","89561","7943118","4852833","2815972","214788","5664654","5200355","18271000","8626","1710364","3087657","110225","8313535","660330000","16182414","198617","15673284","1083431","1396138","3848336","4167292","7418518","126125","594771","9586651","4611687","89270","60395","3408415","4751507","27747867","2858896","272264","1016932","1225077","352971","22281675","34572","414534","4461005","47161641","86921","519329","410801","3703600","73377632","7109029","21907","8398050","33700","95096","73873","4251911","3578631","583107","588597","3974934","2139928","3168100","10029321","179029","456351876","90816938","21983622","7260714","2824400","48422","2185000","50536350","1663754","94055000","891848","9639302","8047470","48275","11916515","25765673","1014211","339697","2255900","2171141","2152681","1853295","760895","1165005","1478760","16834","2823550","316845","178672","5206239","3708193","8074805","93952","5420247","325250","15867","861663","680757","37439317","44563","2127854","21907","1011502","491140","12081713","6917521","22203109","601424","4753","10365144","11638712","81200","2419700","1844630","3602530","45855507","1481112","8965","3609800","546443","47060915","9639","1160832","2035672","1941208","10478096","29342411","29964000","8929316","2399722","40111","18555250","121236000","3046654","116820","15895","68705","4306048","3367082","6655000","42889","2341065","1702400","2888","4191667","1594131","136780","2945662","16989464","2948953","30739250","10022888","56247","92761","4258","85666","8577490","277969","7519998","5434294","4751534","2208026","10337891","27399963","475796","1678788","69391","865028","4236386","28255002","1658569","5625","5436","7838440","43365219","140984","52800000","183691000","2561153","8692048","66462","8453106","33621982","34300","..","5646668","3219451","3925952"
"Population, total","1962","8969047","1711319","11778260","21272","11014","5521400","57008","21020359","2039346","56682","10742000","7129864","4168150","126305","173359","53461661","234829","8351928","9220578","96188","2593302","46600","233417","3864140","3387512","536428","77599218","7902","93837","8012946","4924497","2887398","221484","5788854","5303841","18614000","8799","1742502","3148242","111281","8486120","665770000","16691282","202527","16086084","1112348","1447037","3998287","4196712","7574265","128414","601095","9624660","4647727","93122","61224","3521164","4890425","28485022","2937821","277490","1041552","1241623","361070","22852158","34963","427695","4491443","47679792","89208","525754","422310","3760300","74025784","7281192","22249","8448233","35000","96052","75412","4378604","3642324","590399","604833","4049504","2202854","3305200","10061734","182378","467024193","93345489","22605050","7481832","2836050","48669","2293000","50879450","1683761","94933000","934615","9959414","8363578","49508","12180505","26513030","1038618","378190","2333400","2221615","2181586","1911959","784681","1194085","1535157","17221","2863350","320750","186039","5343117","3799155","8324218","96332","5494845","323900","16387","885938","700349","38683283","46200","2177676","22106","1045315","502558","12404757","7060376","22699703","613808","4950","10570716","11805689","83400","2482000","1901451","3711068","46821845","1497338","9252","3638918","557139","48161841","9851","1196289","2082562","1989376","10792094","30185979","30308500","8993985","2450322","45123","18676550","122591000","3122124","120163","16242","69520","4458516","3463524","6696000","44042","2382914","1750200","3171","4238188","1603649","140254","3022827","17503133","2992270","31023366","10267067","55404","93823","4388","87183","8841338","288291","7561588","5573815","4894995","2287181","10644622","28242174","483324","1706841","71388","881519","4281744","29033647","1716868","5633","5471","8068828","43924755","148877","53250000","186538000","2592441","9038222","68391","8754082","34533889","35000","..","5753386","3323427","4049778"
"Population, total","1963","9157465","1762621","11969451","21949","11839","5599827","57778","21364017","2106142","57475","10950000","7175811","4293550","132639","179891","55094115","235875","8437232","9289770","98862","2638082","47700","240268","3945729","3448532","549041","79915555","7919","98277","8078145","4998671","2948133","228814","5913680","5427511","18964000","8985","1776214","3210296","112410","8656006","682335000","17210956","206546","16517995","1142600","1498647","4156453","4225675","7736352","130860","607072","9670685","4684483","97670","62031","3635798","5034334","29245936","3014885","283018","1067295","1258857","369527","23448979","35385","441385","4523309","48189939","91963","532592","434173","3816100","74714353","7458243","22796","8479625","36400","96882","76996","4508444","3707945","595802","620703","4122260","2267708","3420900","10087947","185653","477933619","95962527","23259094","7735824","2852650","49131","2379000","51252000","1703868","95900000","978607","10277790","8697200","50780","12475236","27261747","1063175","420494","2413700","2273219","2210919","1971511","809138","1224169","1594758","17625","2898950","324100","193618","5484252","3893628","8579350","98775","5570462","322550","16947","911290","718861","39982118","47758","2222675","22442","1075888","513409","12726686","7209807","23210687","627358","5198","10782717","11965966","85700","2531800","1960155","3822697","47822569","1511854","9561","3666537","568603","49325050","10076","1233267","2129222","2039390","11112665","31043711","30712000","9030355","2504530","50950","18797850","123960000","3191311","123416","16583","70272","4621655","3562469","6732000","45176","2426750","1795000","3481","4282017","1616971","143863","3102170","18042215","3036238","31296651","10517531","54391","94887","4524","88638","9115091","299332","7604328","5694247","5045245","2368868","10960161","29114124","491117","1736697","73441","897658","4332926","29827877","1776387","5634","5503","8311013","44445903","157006","53650000","189242000","2622936","9394588","70400","9059953","35526727","39800","..","5860197","3431381","4177931"
"Population, total","1964","9355514","1814135","12179099","22656","12690","5673199","58664","21708487","2171029","58178","11167000","7223801","4439250","138785","186587","56774465","236834","8524224","9378113","101772","2685619","48900","247444","4029472","3507959","562274","82262794","7949","102904","8144340","5076111","3033221","236362","6040847","5556209","19325000","9172","1811694","3273419","113596","8825046","698355000","17739754","210665","16965855","1174269","1550661","4321368","4252876","7902286","133148","612338","9727804","4722072","102945","62843","3752313","5183283","30026648","3095170","288852","1094042","1277086","378531","24073696","35841","455214","4548543","48733997","95192","539830","446375","3870300","75318337","7640196","23347","8510429","37600","97613","78621","4640795","3775510","590481","635957","4196349","2334492","3504600","10119835","188983","489059309","98675061","23948624","7997655","2866550","49597","2475000","51675350","1725181","96903000","1029447","10590934","9047387","52092","12787523","27984155","1087700","465748","2495300","2325513","2240623","2030440","834215","1255197","1652102","18058","2935200","327750","201380","5630024","3990361","8835925","101241","5647380","321250","17537","937830","736381","41333878","49231","2264461","22766","1104017","521753","13044254","7363639","23737818","642054","5484","11002819","12127120","88100","2585400","2020941","3937008","48856332","1529507","9890","3694339","580824","50552592","10318","1271461","2175409","2090840","11442301","31916622","31139450","9035365","2554066","57531","18919126","125345000","3263640","126582","16926","70992","4795130","3664599","6765000","46322","2472686","1841600","3811","4327341","1632114","147609","3183590","18603097","3088701","31609195","10774086","53255","95948","4666","90053","9406702","310288","7661354","5789228","5202846","2452671","11289556","30013573","499136","1772652","75544","913399","4389417","30612821","1836621","5642","5525","8564755","44941406","165305","54000000","191889000","2652376","9758147","72493","9371333","36509166","40800","..","5973803","3542764","4310332"
"Population, total","1965","9565147","1864791","12381256","23391","13563","5736582","59644","22053661","2234051","58782","11388000","7270889","4574650","144849","193012","58500159","237694","8610000","9463667","104838","2735843","50100","255010","4115511","3565517","570975","84623747","8018","107686","8204168","5157929","3118134","244156","6170727","5690086","19678000","9366","1849171","3336338","114832","8994936","715185000","18275814","214939","17438254","1207412","1602736","4492890","4280923","8067651","135266","617345","9779358","4759012","108772","63744","3868712","5337351","30818469","3179506","295010","1121739","1294566","388317","24727506","36346","469010","4563732","49282756","98674","547535","458908","3921600","75963695","7827726","23910","8550333","39200","98226","80255","4774984","3845074","577638","650207","4274348","2403465","3597900","10147935","192286","500114346","101157868","24667026","8270544","2877300","50057","2563000","52112350","1746977","97952000","1093474","10897644","9417207","53444","13105946","28704674","1111812","513840","2573300","2379456","2265919","2087445","860220","1287315","1700072","18500","2971450","331500","209278","5780453","4089097","9091016","104566","5726382","318800","18154","965621","753000","42737991","50759","2301425","23022","1134072","526327","13381880","7524154","24286878","657887","5804","11232951","12294732","90500","2628400","2084097","4053524","49925799","1547982","10229","3723168","593808","51841626","10563","1310556","2222178","2143153","11781581","32805538","31444950","8998595","2594000","64843","19031576","126745000","3348631","129789","17273","71730","4978922","3770874","6794000","47500","2520576","1886900","4161","4370983","1649160","151495","3267593","19187194","3143622","31954292","11035224","52016","97024","4832","91495","9712785","321069","7733853","5856472","5368451","2538295","11630603","30940270","507477","1820396","77686","928462","4457282","31374536","1897095","5650","5548","8829056","45387091","173797","54348050","194303000","2680427","10130096","74677","9688138","37466077","43500","..","6097298","3658024","4447149"
"Population, total","1966","9783147","1914573","12613389","24122","14546","5787044","60615","22403116","2295496","59291","11651000","7322066","4708150","151323","199019","60265259","238494","8696496","9527807","108062","2788642","51000","262976","4204065","3620849","574855","86979283","8139","112597","8258057","5242797","3193378","252238","6299230","5829580","20048000","9566","1888853","3398664","116116","9161649","735400000","18811407","219369","17941738","1242116","1654619","4671196","4310701","8230450","136682","622566","9821040","4797381","114874","64728","3987090","5495761","31613132","3266436","301517","1150264","1308597","398861","25377645","36825","482358","4580869","49817041","102281","555748","471753","3966700","76600311","8019658","24477","8613651","40500","98692","81879","4910790","3916780","570375","663241","4352949","2474523","3629900","10178653","195570","510992617","103561105","25398700","8553883","2888800","50718","2629000","52519000","1768803","98851000","1172770","11197568","9802605","54428","13444048","29435571","1135522","565463","2655300","2434861","2283217","2145646","887841","1320315","1739831","18957","3008050","333895","217232","5936461","4190764","9340240","108713","5806572","315200","18794","994697","768813","44180437","52346","2336782","23198","1165746","526419","13738502","7689643","24854704","674818","6021","11470199","12456251","93500","2675900","2150003","4172501","51020296","1567707","10577","3753012","607538","53199414","10813","1350462","2271490","2195955","12127990","33704749","31681000","8930990","2624995","73102","19215450","127468000","3444021","132976","17588","72567","5173237","3881994","6841000","48699","2569736","1934400","4531","4411666","1669905","155514","3353665","19789771","3185305","32283194","11299721","50683","98126","5044","92957","10014505","332142","7807797","5918002","5542003","2625653","11981932","31883754","516197","1882458","79794","942599","4548972","32172785","1957557","5652","5591","9104743","45809120","182509","54648500","196560000","2707030","10504969","76945","10010685","38388210","46200","..","6228430","3777680","4588529"
"Population, total","1967","10010030","1965598","12897115","24848","15745","5827503","61617","22757014","2355997","59522","11799000","7376998","4832000","158197","204916","62104488","239238","8785648","9580991","111411","2843739","52000","271339","4295269","3673367","578723","89323288","8337","117628","8310226","5330613","3274493","260648","6426445","5975087","20412000","9771","1930861","3461664","117430","9326268","754550000","19343961","224321","18472105","1278312","1706062","4856689","4338683","8390962","138140","627695","9852899","4835354","121168","65760","4108916","5658446","32408414","3354611","308374","1179554","1318946","409638","26051596","37234","494632","4605744","50334012","105995","564436","485132","4005800","76951336","8216086","25047","8684088","41900","98977","83480","5047435","3990760","573380","675064","4432716","2547497","3722800","10216604","198751","521987069","106260749","26133341","8848502","2902450","51731","2745000","52900500","1790580","99879000","1265680","11491228","10201068","54990","13821409","30130983","1159611","621242","2736500","2491927","2301220","2203202","918923","1354287","1778578","19467","3044400","334995","225151","6099529","4295762","9582086","112547","5888497","311550","19665","1024992","783917","45656963","53940","2369729","23281","1198197","522796","14109755","7859471","25440029","693063","6114","11715579","12598201","96500","2724100","2219001","4294283","52106681","1588649","10720","3784539","622042","54629793","10992","1391072","2322647","2248882","12481626","34616857","31987155","8874520","2645674","82517","19534242","128196000","3549461","135752","17907","73564","5381026","3997869","6880000","49911","2620396","1977600","4930","4449367","1689528","159667","3441799","20410677","3221957","32682947","11571008","49269","99257","5294","94382","10320500","343620","7867931","5991785","5723306","2714959","12346286","32839341","525274","1957164","81725","955681","4661271","33026490","2018024","5662","5657","9393432","46235370","191404","54943600","198712000","2731847","10881533","79311","10338848","39282564","49100","..","6368014","3901288","4734694"
"Population, total","1968","10247780","2022272","13190975","25608","17079","5868203","62658","23112971","2416461","59471","12009000","7415403","4948500","165456","210801","63995652","239905","8874552","9618756","114825","2901218","53000","280102","4389249","3723067","582655","91659246","8649","122764","8369603","5422119","3352397","269408","6553109","6127193","20744000","9981","1975257","3526770","118707","9491502","774510000","19872503","229971","19022799","1316130","1756333","5050106","4365628","8550286","140298","632452","9876346","4864883","127668","66865","4230877","5825663","33204629","3443251","315325","1209602","1331214","420373","26778653","37630","505979","4626469","50817020","109832","573611","499151","4042300","77294314","8418152","25610","8740765","43400","99056","85046","5184095","4067333","583475","685887","4514006","2622982","3802700","10255815","201488","533431909","109138723","26875302","9156132","2915550","52910","2803000","53235750","1812209","101011000","1366644","11777849","10613877","55511","14216305","30838302","1184645","681117","2818300","2551070","2323619","2262291","952992","1389453","1819393","20011","3078850","335850","232929","6270528","4403430","9821308","116049","5973762","307900","21001","1056393","798413","47170337","55553","2400264","23481","1230406","517481","14490077","8035529","26044111","712427","6288","11970411","12729721","99500","2748100","2291300","4417954","53210119","1610537","10440","3816486","637379","56124743","11079","1432255","2375356","2301887","12843249","35544973","32294655","8836650","2662064","93022","19799831","128928000","3662010","138154","18291","74739","5604582","4117659","6915000","51134","2672370","2012000","5354","4483915","1704546","163973","3532420","21050540","3261725","33113134","11846815","47772","100400","5497","95758","10638899","355468","7912273","6067714","5912715","2806566","12739965","33807357","534649","2038765","83430","967699","4785003","33884075","2078581","5668","5729","9696370","46635196","213582","55211700","200706000","2754417","11261600","81782","10672654","40145287","55700","..","6515904","4029173","4886347"
"Population, total","1969","10494489","2081695","13491016","26396","18449","5928386","63742","23472028","2476359","59330","12263000","7441055","5063300","172745","216696","65866908","240594","8960304","9646032","118145","2961166","54000","289296","4486098","3770376","586737","94000381","9117","128012","8434172","5515747","3424429","278524","6679708","6286232","21028000","10181","2021519","3595152","119884","9656299","796025000","20392264","236002","19583123","1355699","1805968","5255149","4391490","8709654","142581","636821","9896580","4891860","135390","68007","4352954","5997037","33995955","3530958","318846","1240562","1345249","431366","27530388","38011","516952","4623785","51272683","113803","584628","513686","4080300","77909682","8629855","26162","8772764","44900","98975","86534","5320100","4145194","587880","695919","4596642","2701381","3863900","10298723","203369","545314670","112149246","27643685","9476737","2932650","54099","2877000","53537950","1834615","102219000","1466428","12042478","11039551","56324","14605481","31544266","1211011","743044","2894800","2612111","2343173","2323823","987909","1425879","1862823","20558","3107321","337500","240416","6450324","4512861","10061684","119569","6061764","304300","22623","1088832","812405","48714394","57236","2429193","23875","1261887","513340","14876982","8217930","26659479","732881","6508","12231874","12877984","104000","2772800","2366635","4542993","54360750","1633502","9952","3847707","653593","57676805","11159","1473965","2430922","2355122","13213739","36477170","32548300","8757705","2684150","104517","20009141","129664000","3777879","140457","18403","76059","5844843","4240859","6945000","52365","2724901","2042500","5795","4518607","1713874","168399","3625274","21704214","3301892","33441054","12119207","46135","101605","5646","97126","10966145","367618","7968072","6136387","6111364","2899854","13167782","34787583","544242","2120486","84997","978642","4915162","34721990","2139557","5663","5779","10006526","46990889","253261","55441750","202677000","2773957","11641640","84350","11011335","41015865","60300","..","6673981","4159007","5044163"
